brand,name,old_prices_reais,old_prices_centavos,new_prices_reais,new_price_centavos,review_rating_number,review_amount
,Tenis Para Caminhada Academia Corrida Treino - Leve E Macio,68,90,63,65,4.5,(233)
OLYMPIKUS,Olympikus Marte Masculino Adultos,189,99,150,09,4.7,(241)
FILA,Tênis Masculino Corrida Fila Recovery - Original,379,99,334,39,4.4,(5)
MIZUNO,Tênis Mizuno Wave Zest Masculino,499,90,408,81,5.0,(2)
MIZUNO,Tênis Mizuno Wave Dynasty 5 Masculino Corrida,549,90,395,92,5.0,(1)
DM DAMANDO,Combo Tenis Masculino Espotivo Running Academia + Relógio,78,90,70,30,4.5,(25)
PUMA,Tênis Puma Masculino Cell Divide V2 Bdp Para Corrida,589,90,448,32,,
MIZUNO,Tênis Masculino Mizuno Wave Endeavor Corrida Performance,749,90,532,42,,
LORENZZO LOPEZ,Kit 3 Tênis Masculino Para Academia E Corrida ,199,90,139,93,4.8,(4)
MIZUNO,Tênis Para Corrida Masculino Mizuno Wave Vitality 5 Treino,479,90,345,52,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Masculino,359,90,284,32,,
PUMA,Tênis Puma Haste Sl Bdp Masculino,569,90,429,90,,
OLYMPIKUS,Tênis Neblina Olympikus Corrida Trilha Masculino Adulto,324,99,259,99,4.7,(40)
,Tenis Masculino Feminino Juvenil Academia Macio Confortável ,70,99,6,90,4.5,(524)
NEW BALANCE,New Balance Evoz V3 Masculino Adultos,699,90,431,22,,
MIZUNO,Tênis Para Corrida Masculino Mizuno Wave Hawk 4 Esportivo,399,90,267,93,,
ADIDAS,Tênis Lite Racer 3.0 adidas,299,99,199,99,,
MIZUNO,Tênis Mizuno Space 4 Masculino Corrida - Caminhada,329,90,32,99,5.0,(4)
UNDER ARMOUR,Tênis Under Armour Tribase Lift Masculino Academia - Fitness,599,90,520,90,,
PUMA,Tenis Masculino Puma Up Leve Estiloso Confortavel - Original,316,83,237,50,5.0,(9)
OLYMPIKUS,Tênis Olympikus Dynamic Masculino Original,319,90,223,93,4.7,(372)
PUMA,Tênis Puma Masculino Cell Divide V2 Bdp Para Corrida,589,90,442,42,,
OLYMPIKUS,Tênis Masculino Olimp Treino Academia Leve Macio - Olympikus,229,99,188,59,4.8,(624)
NEW BALANCE,Tênis New Balance Evoz V3 Masculino,699,90,489,93,,
FILA,Tênis Fila Racer Nairobi Preto Cinza E Verde - Masculino,379,99,296,39,4.7,(53)
OLYMPIKUS,Tênis Olympikus Dynamic Masculino Original Com Nota Fiscal,259,78,241,59,4.9,(155)
LORENZZO LOPEZ,Tênis Masculino Para Esportes Corrida E Caminhada ,69,90,6,79,,
OLDSEN,Tenis Masculino Infantil Jaguar De Corrida Academia 34-43,78,90,63,12,4.6,(566)
OLYMPIKUS,Olympikus Asfalto Masculino Adultos,231,99,22,55,,
